newruntop,newrunbottom,newdrive,newtop,newbottom
0,1,AT2-R1-1,0,1
1,2,AT2-R1-1,1,2
2,3,AT2-R1-1,2,3
3,4,AT2-R1-1,3,4
4,5,AT2-R1-1,4,5
5,6,AT2-R1-1,5,6
6,7,AT2-R1-1,6,7
7,8,AT2-R1-1,7,8
8,9,AT2-R1-1,8,9
9,10,AT2-R1-1,9,10
10,11,AT2-R1-1,10,11
11,12,AT2-R1-1,11,12
12,13,AT2-R1-1,12,13
13,14,AT2-R1-1,13,14
14,15,AT2-R1-1,14,15
15,16,AT2-R1-1,15,16
16,17,AT2-R1-1,16,17
17,18,AT2-R1-1,17,18
18,19,AT2-R1-1,18,19
19,20,AT2-R1-1,19,20
20,21,AT2-R1-1,20,21
21,22,AT2-R1-1,21,22
22,23,AT2-R1-1,22,23
23,24,AT2-R1-1,23,24
24,25,AT2-R1-1,24,25
25,26,AT2-R1-1,25,26
26,27,AT2-R1-1,26,27
27,28,AT2-R1-1,27,28
28,29,AT2-R1-1,28,29
29,30,AT2-R1-1,29,30
30,31,AT2-R1-1,30,31
31,32,AT2-R1-1,31,32
32,33,AT2-R1-1,32,33
33,34,AT2-R1-1,33,34
34,35,AT2-R1-1,34,35
35,36,AT2-R1-1,35,36
36,37,AT2-R1-1,36,37
37,38,AT2-R1-1,37,38
38,39,AT2-R1-1,38,39
39,40,AT2-R1-1,39,40
40,41,AT2-R1-1,40,41
41,42,AT2-R1-1,41,42
42,43,AT2-R1-1,42,43
43,44,AT2-R1-1,43,44
44,45,AT2-R1-1,44,45
45,46,AT2-R1-1,45,46
46,47,AT2-R1-1,46,47
47,48,AT2-R1-1,47,48
48,49,AT2-R1-1,48,49
49,50,AT2-R1-1,49,50
50,51,AT2-R1-1,50,51
51,52,AT2-R1-1,51,52
52,53,AT2-R1-1,52,53
53,54,AT2-R1-1,53,54
54,55,AT2-R1-1,54,55
55,56,AT2-R1-1,55,56
56,57,AT2-R1-1,56,57
57,58,AT2-R1-1,57,58
58,59,AT2-R1-1,58,59
59,60,AT2-R1-1,59,60
60,61,AT2-R1-1,60,61
61,62,AT2-R1-1,61,62
62,63,AT2-R1-1,62,63
63,64,AT2-R1-1,63,64
64,65,AT2-R1-1,64,65
65,66,AT2-R1-1,65,66
66,67,AT2-R1-1,66,67
67,68,AT2-R1-1,67,68
68,69,AT2-R1-1,68,69
69,70,AT2-R1-1,69,70
70,71,AT2-R1-1,70,71
71,72,AT2-R1-1,71,72
72,73,AT2-R1-1,72,73
73,74,AT2-R1-1,73,74
74,75,AT2-R1-1,74,75
75,76,AT2-R1-1,75,76
76,77,AT2-R1-1,76,77
77,78,AT2-R1-1,77,78
78,79,AT2-R1-1,78,79
79,80,AT2-R1-2,46,47
80,81,AT2-R1-2,47,48
81,82,AT2-R1-2,48,49
82,83,AT2-R1-2,49,50
83,84,AT2-R1-2,50,51
84,85,AT2-R1-2,51,52
85,86,AT2-R1-2,52,53
86,87,AT2-R1-2,53,54
87,88,AT2-R1-2,54,55
88,89,AT2-R1-2,55,56
89,90,AT2-R1-2,56,57
90,91,AT2-R1-2,57,58
91,92,AT2-R1-2,58,59
92,93,AT2-R1-2,59,60
93,94,AT2-R1-2,60,61
94,95,AT2-R1-2,61,62
95,96,AT2-R1-2,62,63
96,97,AT2-R1-2,63,64
97,98,AT2-R1-2,64,65
98,99,AT2-R1-2,65,66
99,100,AT2-R1-2,66,67
100,101,AT2-R1-2,67,68
101,102,AT2-R1-2,68,69
102,103,AT2-R1-2,69,70
103,104,AT2-R1-2,70,71
104,105,AT2-R1-2,71,72
105,106,AT2-R1-2,72,73
106,107,AT2-R1-2,73,74
107,108,AT2-R1-2,74,75
108,109,AT2-R1-2,75,76
109,110,AT2-R1-2,76,77
110,111,AT2-R1-2,77,78
111,112,AT2-R1-2,78,79
112,113,AT2-R1-2,79,80
113,114,AT2-R1-2,80,81
114,115,AT2-R1-2,81,82
115,116,AT2-R1-2,82,83
116,117,AT2-R1-2,83,84
117,118,AT2-R1-2,84,85
118,119,AT2-R1-2,85,86
119,120,AT2-R1-2,86,87
120,121,AT2-R1-2,87,88
121,122,AT2-R1-2,88,89
122,123,AT2-R1-2,89,90
123,124,AT2-R1-2,90,91
124,125,AT2-R1-2,91,92
125,126,AT2-R1-2,92,93
126,127,AT2-R1-2,9,10
127,128,AT2-R1-2,10,11
128,129,AT2-R1-4,11,12
129,130,AT2-R1-4,12,13
130,131,AT2-R1-4,13,14
131,132,AT2-R1-4,14,15
132,133,AT2-R1-4,15,16
133,134,AT2-R1-4,16,17
134,135,AT2-R1-4,17,18
135,136,AT2-R1-4,18,19
136,137,AT2-R1-4,19,20
137,138,AT2-R1-4,20,21
138,139,AT2-R1-4,21,22
139,140,AT2-R1-4,22,23
140,141,AT2-R1-4,23,24
141,142,AT2-R1-4,24,25
142,143,AT2-R1-4,25,26
143,144,AT2-R1-4,26,27
144,145,AT2-R1-4,27,28
145,146,AT2-R1-4,28,29
146,147,AT2-R1-4,29,30
147,148,AT2-R1-4,30,31
148,149,AT2-R1-4,31,32
149,150,AT2-R1-4,32,33
150,151,AT2-R1-4,33,34
151,152,AT2-R1-4,34,35
152,153,AT2-R1-4,35,36
153,154,AT2-R1-4,36,37
154,155,AT2-R1-4,37,38
155,156,AT2-R1-4,38,39
156,157,AT2-R1-4,39,40
157,158,AT2-R1-4,40,41
158,159,AT2-R1-4,41,42
159,160,AT2-R1-4,42,43
160,161,AT2-R1-4,43,44
161,162,AT2-R1-4,44,45
162,163,AT2-R1-4,45,46
163,164,AT2-R1-4,46,47
164,165,AT2-R1-4,47,48
165,166,AT2-R1-4,48,49
166,167,AT2-R1-4,49,50
167,168,AT2-R1-4,50,51
168,169,AT2-R1-4,51,52
169,170,AT2-R1-4,52,53
170,171,AT2-R1-4,53,54
171,172,AT2-R1-4,54,55
172,173,AT2-R1-4,55,56
173,174,AT2-R1-4,56,57
174,175,AT2-R1-4,57,58
175,176,AT2-R1-4,58,59
176,177,AT2-R1-4,59,60
177,178,AT2-R1-4,60,61
178,179,AT2-R1-4,61,62
179,180,AT2-R1-4,62,63
180,181,AT2-R1-4,63,64
181,182,AT2-R1-4,64,65
182,183,AT2-R1-4,65,66
183,184,AT2-R1-4,66,67
184,185,AT2-R1-4,67,68
185,186,AT2-R1-4,68,69
186,187,AT2-R1-4,69,70
187,188,AT2-R1-4,70,71
188,189,AT2-R1-4,71,72
189,190,AT2-R1-4,72,73
190,191,AT2-R1-4,73,74
191,192,AT2-R1-4,74,75
192,193,AT2-R1-4,75,76
193,194,AT2-R1-4,76,77
194,195,AT2-R1-4,77,78
195,196,AT2-R1-4,78,79
196,197,AT2-R1-4,79,80
197,198,AT2-R1-4,80,81
198,199,AT2-R1-4,81,82
199,200,AT2-R1-4,82,83
200,201,AT2-R1-4,83,84
201,202,AT2-R1-4,84,85
202,203,AT2-R1-4,85,86
203,204,AT2-R1-4,86,87
204,205,AT2-R1-4,87,88
205,206,AT2-R1-4,88,89
206,207,AT2-R1-4,89,90
207,208,AT2-R1-4,90,91
208,209,AT2-R1-4,91,92
209,210,AT2-R1-4,92,93
210,211,AT2-R1-4,93,94
211,212,AT2-R1-4,94,95
212,213,AT2-R1-4,95,96
213,214,AT2-R1-4,96,97
214,215,AT2-R1-4,97,98
215,216,AT2-R1-4,98,99
216,217,AT2-R1-4,99,100
217,218,AT2-R1-4,100,101
218,219,AT2-R1-4,101,102
219,220,AT2-R1-4,102,103
