oldruntop,oldrunbottom,olddrive,oldtop,oldbottom
0,0.5,Kajak,0,0.5
0.5,1,Kajak,0.5,1
1,1.5,Kajak,1,1.5
1.5,2,Kajak,1.5,2
2,2.5,Kajak,2,2.5
2.5,3,Kajak,2.5,3
3,3.5,Kajak,3,3.5
3.5,4,Kajak,3.5,4
4,4.5,Kajak,4,4.5
4.5,5,Kajak,4.5,5
5,5.5,Kajak,5,5.5
5.5,6,Kajak,5.5,6
6,6.5,Kajak,6,6.5
6.5,7,Kajak,6.5,7
7,7.5,Kajak,7,7.5
7.5,8,Kajak,7.5,8
8,8.5,Kajak,8,8.5
8.5,9,Kajak,8.5,9
9,9.5,Kajak,9,9.5
9.5,10,Kajak,9.5,10
10,11,Kajak,10,11
11,12,Kajak,11,12
12,13,Kajak,12,13
13,14,Kajak,13,14
14,15,Kajak,14,15
15,16,Kajak,15,16
16,17,Kajak,16,17
17,18,Kajak,17,18
18,19,Kajak,18,19
19,20,Kajak,19,20
20,21,Kajak,20,21
21,22,Kajak,21,22
22,23,AT2-R1-1,24,25
23,24,AT2-R1-1,25,26
24,25,AT2-R1-1,26,27
25,26,AT2-R1-1,27,28
26,27,AT2-R1-1,28,29
27,28,AT2-R1-1,29,30
28,29,AT2-R1-1,30,31
29,30,AT2-R1-1,31,32
30,31,AT2-R1-1,32,33
31,32,AT2-R1-1,33,34
32,33,AT2-R1-1,34,35
33,34,AT2-R1-1,35,36
34,35,AT2-R1-1,36,37
35,36,AT2-R1-1,37,38
36,37,AT2-R1-1,38,39
37,38,AT2-R1-1,39,40
38,39,AT2-R1-1,40,41
39,40,AT2-R1-1,41,42
40,41,AT2-R1-1,42,43
41,42,AT2-R1-1,43,44
42,43,AT2-R1-1,44,45
43,44,AT2-R1-1,45,46
44,45,AT2-R1-1,46,47
45,46,AT2-R1-1,47,48
46,47,AT2-R1-1,48,49
47,48,AT2-R1-1,49,50
48,49,AT2-R1-1,50,51
49,50,AT2-R1-1,51,52
50,51,AT2-R1-1,52,53
51,52,AT2-R1-1,53,54
52,53,AT2-R1-1,54,55
53,54,AT2-R1-1,55,56
54,55,AT2-R1-1,56,57
55,56,AT2-R1-1,57,58
56,57,AT2-R1-1,58,59
57,58,AT2-R1-1,59,60
58,59,AT2-R1-1,60,61
59,60,AT2-R1-1,61,62
60,61,AT2-R1-1,62,63
61,62,AT2-R1-1,63,64
62,63,AT2-R1-1,64,65
63,64,AT2-R1-1,65,66
64,65,AT2-R1-1,66,67
65,66,AT2-R1-1,67,68
66,67,AT2-R1-1,68,69
67,68,AT2-R1-1,69,70
68,69,AT2-R1-1,70,71
69,70,AT2-R1-1,71,72
70,71,AT2-R1-1,72,73
71,72,AT2-R1-1,73,74
72,73,AT2-R1-1,74,75
73,74,AT2-R1-1,75,76
74,75,AT2-R1-1,76,77
75,76,AT2-R1-1,77,78
76,77,AT2-R1-1,78,79
77,78,AT2-R1-1,79,80
78,79,AT2-R1-1,80,81
79,80,AT2-R1-2,49,50
80,81,AT2-R1-2,50,51
81,82,AT2-R1-2,51,52
82,83,AT2-R1-2,52,53
83,84,AT2-R1-2,53,54
84,85,AT2-R1-2,54,55
85,86,AT2-R1-2,55,56
86,87,AT2-R1-2,56,57
87,88,AT2-R1-2,57,58
88,89,AT2-R1-2,58,59
89,90,AT2-R1-2,59,60
90,91,AT2-R1-2,60,61
91,92,AT2-R1-2,61,62
92,93,AT2-R1-2,62,63
93,94,AT2-R1-2,63,64
94,95,AT2-R1-2,64,65
95,96,AT2-R1-2,65,66
96,97,AT2-R1-2,66,67
97,98,AT2-R1-2,67,68
98,99,AT2-R1-2,68,69
99,100,AT2-R1-2,69,70
100,101,AT2-R1-2,70,71
101,102,AT2-R1-2,71,72
102,103,AT2-R1-2,72,73
103,104,AT2-R1-2,73,74
104,105,AT2-R1-2,74,75
105,106,AT2-R1-2,75,76
106,107,AT2-R1-2,76,77
107,108,AT2-R1-2,77,78
108,109,AT2-R1-2,78,79
109,110,AT2-R1-2,79,80
110,111,AT2-R1-2,80,81
111,112,AT2-R1-2,81,82
112,113,AT2-R1-2,82,83
113,114,AT2-R1-2,83,84
114,115,AT2-R1-2,84,85
115,116,AT2-R1-2,85,86
116,117,AT2-R1-2,86,87
117,118,AT2-R1-2,87,88
118,119,AT2-R1-2,88,89
119,120,AT2-R1-2,89,90
120,121,AT2-R1-2,90,91
121,122,AT2-R1-2,91,92
122,123,AT2-R1-2,92,93
123,124,AT2-R1-4,9,10
124,125,AT2-R1-4,10,11
125,126,AT2-R1-4,11,12
126,127,AT2-R1-4,12,13
127,128,AT2-R1-4,13,14
128,129,AT2-R1-4,14,15
129,130,AT2-R1-4,15,16
130,131,AT2-R1-4,16,17
131,132,AT2-R1-4,17,18
132,133,AT2-R1-4,18,19
133,134,AT2-R1-4,19,20
134,135,AT2-R1-4,20,21
135,136,AT2-R1-4,21,22
136,137,AT2-R1-4,22,23
137,138,AT2-R1-4,23,24
138,139,AT2-R1-4,24,25
139,140,AT2-R1-4,25,26
140,141,AT2-R1-4,26,27
141,142,AT2-R1-4,27,28
142,143,AT2-R1-4,28,29
143,144,AT2-R1-4,29,30
144,145,AT2-R1-4,30,31
145,146,AT2-R1-4,31,32
146,147,AT2-R1-4,32,33
147,148,AT2-R1-4,33,34
148,149,AT2-R1-4,34,35
149,150,AT2-R1-4,35,36
150,151,AT2-R1-4,36,37
151,152,AT2-R1-4,37,38
152,153,AT2-R1-4,38,39
153,154,AT2-R1-4,39,40
154,155,AT2-R1-4,40,41
155,156,AT2-R1-4,41,42
156,157,AT2-R1-4,42,43
157,158,AT2-R1-4,43,44
158,159,AT2-R1-4,44,45
159,160,AT2-R1-4,45,46
160,161,AT2-R1-4,46,47
161,162,AT2-R1-4,47,48
162,163,AT2-R1-4,48,49
163,164,AT2-R1-4,49,50
164,165,AT2-R1-4,50,51
165,166,AT2-R1-4,51,52
166,167,AT2-R1-4,52,53
167,168,AT2-R1-4,53,54
168,169,AT2-R1-4,54,55
169,170,AT2-R1-4,55,56
170,171,AT2-R1-4,56,57
171,172,AT2-R1-4,57,58
172,173,AT2-R1-4,58,59
173,174,AT2-R1-4,59,60
174,175,AT2-R1-4,60,61
175,176,AT2-R1-4,61,62
176,177,AT2-R1-4,62,63
177,178,AT2-R1-4,63,64
178,179,AT2-R1-4,64,65
179,180,AT2-R1-4,65,66
180,181,AT2-R1-4,66,67
181,182,AT2-R1-4,67,68
182,183,AT2-R1-4,68,69
183,184,AT2-R1-4,69,70
184,185,AT2-R1-4,70,71
185,186,AT2-R1-4,71,72
186,187,AT2-R1-4,72,73
187,188,AT2-R1-4,73,74
188,189,AT2-R1-4,74,75
189,190,AT2-R1-4,75,76
190,191,AT2-R1-4,76,77
191,192,AT2-R1-4,77,78
192,193,AT2-R1-4,78,79
193,194,AT2-R1-4,79,80
194,195,AT2-R1-4,80,81
195,196,AT2-R1-4,81,82
196,197,AT2-R1-4,82,83
197,198,AT2-R1-4,83,84
198,199,AT2-R1-4,84,85
199,200,AT2-R1-4,85,86
200,201,AT2-R1-4,86,87
201,202,AT2-R1-4,87,88
202,203,AT2-R1-4,88,89
203,204,AT2-R1-4,89,90
204,205,AT2-R1-4,90,91
205,206,AT2-R1-4,91,92
206,207,AT2-R1-4,92,93
207,208,AT2-R1-4,93,94
208,209,AT2-R1-4,94,95
209,210,AT2-R1-4,95,96
210,211,AT2-R1-4,96,97
211,212,AT2-R1-4,97,98
212,213,AT2-R1-4,98,99
213,214,AT2-R1-4,99,100
214,215,AT2-R1-4,100,101
215,216,AT2-R1-4,101,102
216,217,AT2-R1-4,102,103
